ticker,name,category,subcategory,cycle_stage,lead_time_advantage_yrs,ownership_score,supply_response_score,constraint_controlled,physics_thesis,key_metrics,reasoning
ETN,Eaton Corporation,Grid Infrastructure,Electrical Equipment & Switchgear,middle,3.0,6,7,"Eaton manufactures medium- and low-voltage switchgear, transformers, busways, and power distribution units that data centers physically cannot operate without.","AI data centers require massive electrical distribution infrastructure — switchgear, transformers, PDUs — and Eaton is one of a small handful of suppliers (with Schneider, ABB, Siemens) with the manufacturing capacity and certifications to deliver at hyperscale. Lead times for large switchgear have stretched to 50-80+ weeks, signaling real physical scarcity. However, Eaton manufactures equipment rather than owning a unique physical asset, and has multiple credible global competitors, capping the ownership score.",Electrical Americas backlog and book-to-bill; switchgear/transformer lead times; data center vertical revenue mix,"Ownership score 6: Eaton physically manufactures bottlenecked grid equipment but is one of 4-5 global players, not a sole controller, and the business is diversified across aerospace, vehicle, and eMobility. Supply response score 7: ramping switchgear and transformer capacity requires 2-5 years due to grain-oriented electrical steel shortages, skilled labor, and certification/testing cycles, but it is not geologically constrained like mining."
GEV,GE Vernova,Grid Infrastructure,Gas Turbines & Grid Equipment,middle,5.0,7,8,"Dominant manufacturing capacity for heavy-duty gas turbines and high-voltage grid equipment (transformers, switchgear) with multi-year backlogs.","GE Vernova manufactures the gas turbines, HVDC equipment, and grid hardware that AI data centers and utilities physically require to add generation and transmission capacity. Gas turbine slots are sold out through ~2028, and global capacity to build large-frame turbines is concentrated among only three OEMs (GEV, Siemens Energy, Mitsubishi). They also service ~55% of the world's nuclear fleet, giving optionality on nuclear revival.",Gas turbine backlog (GW and $); Power segment book-to-bill; Electrification segment orders growth,"Ownership score 7 because GEV physically manufactures (not just designs) scarce capital equipment with only 2 real global competitors and multi-year replication time, but it sells equipment rather than operating the power assets itself, and Wind/diversified segments dilute the pure-play exposure. Supply response 8 because adding new heavy gas turbine manufacturing capacity (large castings, specialty alloys, skilled labor) takes 5-10 years even with capital — the bottleneck is real and slow to relieve."
PWR,Quanta Services,Grid Infrastructure,Transmission Construction Services,middle,5.0,6,8,Quanta controls the largest skilled linemen workforce and specialized equipment fleet for building electric transmission and distribution infrastructure in North America.,"AI data centers require massive grid buildout, and the binding constraint is not capital but skilled labor — linemen take years to train and unions gate supply. Quanta operates (not just sells) the largest such workforce, executing transmission projects utilities cannot self-perform. As grid capex surges, Quanta's labor pool is a genuine physical bottleneck, though it is a service provider rather than an owner of irreplaceable hard assets.",Electric infrastructure backlog ($B); lineman headcount and apprenticeship pipeline; book-to-bill ratio,"Ownership score of 6: Quanta directly operates the scarce asset (skilled labor + specialized fleet) rather than just selling equipment, but it does not own irreplaceable physical infrastructure like mines or generation, and competitors (MasTec, MYR Group) exist. Supply response of 8: training journeyman linemen takes 4-7 years, union apprenticeships gate throughput, and this cannot be accelerated meaningfully with capital alone."
HUBB,Hubbell,Grid Infrastructure,Utility T&D Equipment,middle,2.5,5,6,"Manufacturing capacity for utility-grade transmission and distribution components (arresters, insulators, connectors, switches, smart meters) feeding constrained grid buildout.","Hubbell sells critical T&D components into the grid bottleneck that AI data centers face, benefiting from utility capex cycles and transformer/grid equipment shortages. However, Hubbell does not OWN the grid or generation — it is an equipment vendor with real competitors (Eaton, ABB, Siemens, nVent), so it captures the theme indirectly rather than controlling a scarce physical asset.",Utility Solutions segment organic growth; T&D equipment backlog and lead times; utility capex spending YoY,"Ownership score of 5 reflects that Hubbell is an equipment vendor selling INTO the grid bottleneck rather than owning the physical infrastructure, with multiple credible competitors. Supply response of 6 reflects 2-5 year lead times to expand specialty grid equipment manufacturing (tooling, skilled labor, grain-oriented steel, copper) — real but not insurmountable bottlenecks."
VRT,Vertiv Holdings,Cooling and Power Management,Liquid Cooling and Power,middle,3.0,9,6,Vertiv is the dominant OEM for liquid cooling and integrated power management systems required by high-density AI GPU clusters that physically cannot be air-cooled.,"Blackwell-class and beyond GPUs dissipate heat densities that exceed air-cooling physics, forcing a hard transition to direct-liquid and immersion cooling. Vertiv has the deepest installed base, reference designs co-developed with NVIDIA, and the manufacturing scale for CDUs, rear-door heat exchangers, busbars, and switchgear — components every hyperscaler needs simultaneously. While competitors (Schneider, nVent, Munters) exist, Vertiv's integrated power+thermal stack and lead times give it pricing power as data center thermal load is a non-negotiable physical constraint.",Liquid cooling backlog and book-to-bill; AI-related orders growth YoY; gross margin expansion on thermal segment,"Ownership score of 9 reflects that Vertiv is explicitly cited as the dominant liquid-cooling supplier in the rubric — it manufactures the irreplaceable thermal infrastructure, though 2-3 credible competitors prevent a perfect 10. Supply response of 6 because while Vertiv itself can scale factories in 2-3 years, qualifying new entrants into hyperscaler reference designs, scaling specialized CDU/manifold manufacturing, and copper/compressor supply chains make rapid substitution difficult."
MOD,Modine Manufacturing,Cooling and Power Management,Data Center Cooling,middle,2.0,6,5,"Modine manufactures and operates production capacity for data center cooling systems (CDUs, chillers, air handlers) including the Airedale brand, a key supplier for AI/HPC thermal management.","AI GPU clusters generate heat densities that mandate purpose-built cooling, and Modine's Airedale division supplies precision air handlers and liquid cooling distribution units directly into hyperscaler builds. While not the dominant liquid-cooling OEM (Vertiv holds that crown), Modine has a fast-growing data center segment with real manufacturing footprint and customer lock-in. The bottleneck is genuine but Modine is one of several credible suppliers, not a sole-source.",Data center segment revenue growth; Airedale order backlog; hyperscaler customer concentration,"Modine directly manufactures cooling equipment that AI data centers physically require, justifying a 6 — they own the production capacity but face real competition from Vertiv, Trane, Schneider, and Stulz. Supply response is 1-2 years since cooling equipment can be scaled with new factory lines and is not geologically constrained, though specialized liquid-cooling capacity has bottlenecks pushing it toward the 5 band."
CCJ,Cameco,Critical Materials,Uranium Mining,middle,15.0,10,10,"Cameco owns and operates Tier-1 uranium mines (Cigar Lake, McArthur River) with the highest-grade uranium reserves in the Western world, plus conversion capacity and a Westinghouse stake.","AI's power demand is reviving nuclear globally, but uranium mines take 10-20 years to permit and develop, and the West has structurally underinvested for a decade. Cameco controls irreplaceable high-grade Canadian reserves and is one of only a handful of Western producers — there is no substitute material and no fast supply response. Westinghouse adds reactor OEM exposure, doubling the lock on the nuclear value chain.",Uranium spot/term price ($/lb U3O8); Cigar Lake & McArthur production volumes; long-term utility contract book,"Direct physical ownership of geologically scarce, high-grade uranium reserves with no substitute earns a 10 on ownership — this is the canonical example in the rubric. Supply response is also a 10 because new uranium mines require 10-20 years for exploration, permitting, and development regardless of capital, and the fuel cycle (conversion, enrichment) adds further bottlenecks."
OKLO,Oklo Inc.,Nuclear Revival,Small Modular Reactors,early,4.0,5,9,Oklo is developing Aurora SMR fission powerhouses (15-75MW) but has not yet built or operated any commercial reactor.,"Oklo targets a genuine bottleneck — behind-the-meter nuclear power for AI data centers — and has a notable customer pipeline plus DOE site approval at Idaho National Laboratory. However, it currently OWNS no operating physical asset; its first reactor is not expected online until 2027-2028, and NRC licensing remains incomplete after a prior denial. The thesis is real but speculative: it's a design/developer stage company, not yet a power asset owner.",NRC combined license application status; MW under signed customer agreements; first Aurora commissioning date,"Ownership score of 5 reflects that Oklo does not yet operate any physical power asset — it is a pre-revenue reactor developer, closer to a designer than an asset owner, despite the strong nuclear thesis. Supply response score of 9 reflects that fission plants, even SMRs, take 5-10+ years to license, fuel (HALEU constrained), and build, and cannot be accelerated meaningfully with capital alone."
FCX,Freeport-McMoRan,Critical Materials,Copper Mining,early,12.0,9,10,"Owns and operates some of the world's largest copper mines including Grasberg (Indonesia), Morenci (Arizona), and Cerro Verde (Peru) with decades of proven reserves.","AI data centers require massive copper for power transmission, transformers, busbars, and wiring — a single GW-scale data center consumes thousands of tons of copper. New copper mines take 10-20 years from discovery to production due to permitting, geology, and capital intensity, and global ore grades are declining. Freeport is the largest publicly-traded pure-play copper producer with irreplaceable in-ground reserves.",Copper production volume (lbs/yr); realized copper price ($/lb); Grasberg underground ramp-up progress,"Ownership scores 9 because FCX directly operates tier-1 copper assets that cannot be replicated — Grasberg alone is one of the largest copper-gold deposits ever found. Supply response scores 10 because copper mines are the canonical 10-20 year asset; even with unlimited capital, permitting, water rights, and ore body development cannot be compressed."
SCCO,Southern Copper,Critical Materials,Copper Mining,early,12.0,9,10,"Owns and operates some of the world's largest copper reserves and producing mines in Peru and Mexico, including Toquepala, Cuajone, and Buenavista.","AI data centers require massive amounts of copper for power transmission, transformers, busbars, and wiring — roughly 50,000+ tons per GW of data center capacity. Southern Copper holds the largest copper reserves of any publicly traded miner, with multi-decade mine lives in tier-1 jurisdictions. New copper mines take 10-20 years to permit and develop, making existing producing assets irreplaceable as AI-driven demand collides with grid electrification.",Copper production volume (Mlb/yr); realized copper price ($/lb); reserve life and grade at Toquepala/Cuajone/Buenavista,"SCCO directly owns and operates physically scarce, geologically irreplaceable copper deposits — pure physical control of the bottleneck, not equipment or services. Copper supply cannot respond to price signals on AI timescales: permitting, construction, and ramp routinely exceed a decade (e.g., Tia Maria stalled 15+ years), warranting a 10 on supply response. Ownership at 9 rather than 10 because Freeport, BHP, and Codelco are meaningful peers, though SCCO has the largest reserves."
NVDA,Nvidia Corporation,Other,Fabless GPU Design,middle,2.0,4,6,"NVIDIA controls GPU architecture IP and CUDA software ecosystem, but does not own any fabrication, power, or physical infrastructure.","NVIDIA is the demand-creator at the top of the AI bottleneck chain, not a controller of physical bottlenecks below it. It is fabless — TSMC manufactures the chips, SK Hynix supplies HBM, and hyperscalers provide power and cooling. Its moat is architectural and software-based (CUDA), not a physically scarce asset that fits the physics arbitrage thesis.",Data center revenue growth; CUDA developer ecosystem size; HBM/CoWoS allocation from TSMC,"Ownership score of 4 reflects that NVIDIA is fabless and owns no physical bottleneck infrastructure — its scarcity is IP/software, not physics. Supply response of 6 reflects that competitors (AMD, custom ASICs from hyperscalers) need 2-5 years to meaningfully challenge CUDA and the architectural lead, but this is a software/design moat, not a geological or grid-based one."
CRWV,CoreWeave,Other,AI GPU Cloud Hosting,middle,2.0,5,5,Operates GPU-dense data centers with secured Nvidia H100/H200/GB200 allocations and leased power capacity for AI training workloads.,"CoreWeave sits adjacent to multiple AI bottlenecks — it leases data center capacity, controls a large GPU fleet, and has secured scarce Nvidia allocation — but it does not own the underlying physical scarcity (power generation, grid interconnects, or the chips themselves). It is a hosting/cloud layer on top of the physical stack, with most of its real estate and power leased from third parties like Core Scientific and Chirisa. Its moat is contractual (Nvidia allocation, Microsoft offtake) rather than geological or physical.",Contracted power capacity (MW) under lease; GPU fleet size and Nvidia allocation; revenue backlog and customer concentration,"Ownership score of 5 because CoreWeave is exposed to the AI bottleneck theme but does not physically own the scarce assets — power, land, and grid connections are largely leased, and GPUs are sourced from Nvidia. It is a software/cloud layer with operational scale, not a controller of geological or grid-level scarcity. Supply response of 5 because GPU cloud capacity can be replicated by hyperscalers and competitors (Lambda, Nebius, hyperscalers) within 1-2 years given capital and Nvidia allocation."
INTC,Intel,Other,Leading-edge Foundry,early,5.0,7,8,"Intel owns and operates leading-edge semiconductor fabs (Arizona, Ohio, Ireland) — one of only three entities globally (with TSMC and Samsung) capable of advanced-node logic manufacturing.","AI compute ultimately bottlenecks on advanced-node wafer capacity, which requires fabs costing $20B+ and 5+ years to build. Intel physically owns fabs and EUV tooling — unlike fabless designers (NVIDIA, AMD) who are renters of TSMC capacity. Intel Foundry Services positions it as a Western alternative as governments push for onshore AI chip manufacturing (CHIPS Act).",18A node yield and external foundry customer wins; fab capex and wafer-start capacity; foundry revenue ex-Intel-internal,"Intel directly owns and operates leading-edge fabs — a genuine physical bottleneck with only 2-3 global competitors, fitting the 6-7 band. Supply response is 5-10 years given fab construction, EUV tool delivery queues, and process ramp timelines. Score is tempered because Intel's process leadership is contested and most AI training silicon still routes through TSMC, not Intel."
LITE,Lumentum Holdings,Optical Interconnects,Datacenter Optical Transceivers,middle,3.0,6,6,"Lumentum manufactures high-speed optical transceivers, EML lasers, and indium phosphide photonics used to interconnect AI GPU clusters across datacenters.","AI training clusters require massive bandwidth between GPUs and across datacenter fabrics, which is physically constrained by optical transceiver supply (800G/1.6T) and the underlying EML/InP laser chip capacity. Lumentum operates its own InP fabs and is one of a small number of qualified suppliers (with Coherent and a few others), making it a real but contested physical bottleneck in the AI interconnect layer.",800G/1.6T transceiver shipment volumes; EML laser chip capacity utilization; cloud/hyperscaler datacom revenue mix,"Lumentum genuinely operates physical InP wafer fabs producing scarce laser chips for AI interconnects, which lifts ownership above a pure designer — but it faces real competition from Coherent, Broadcom, and Marvell, capping it at 6. Adding fab capacity for EML lasers takes 2-4 years given specialized equipment and yield ramps, justifying a mid-range supply response score."
SNDK,SanDisk,Other,NAND Flash Memory,middle,3.0,5,6,"SanDisk operates NAND flash memory fabrication capacity (spun off from Western Digital), producing storage that feeds AI data pipelines and inference workloads.","SanDisk owns physical NAND fab capacity, which is genuinely capital- and time-intensive to expand (new fabs take 2-4 years and $10B+). However, NAND is not the binding constraint in the AI buildout — HBM and power are. NAND is a commoditized, cyclical memory product with multiple large competitors (Samsung, SK Hynix, Micron, Kioxia), so pricing power is limited and the scarcity story is weaker than for power, cooling, or uranium.",NAND bit shipments and ASP; fab utilization rate; enterprise/AI SSD revenue mix,"Ownership score of 5 reflects that SanDisk does physically operate fabs (real infrastructure) but NAND is not a true AI bottleneck and faces 4+ scaled competitors, so it's exposure rather than control. Supply response of 6 reflects realistic 2-5 year fab buildout timelines, but the industry can also flex existing capacity within ~1 year, capping the score."
EQT,EQT Corp,Power Generation,Natural Gas Production,middle,7.0,9,8,"EQT is the largest US natural gas producer, owning vast Appalachian (Marcellus/Utica) reserves and integrated midstream pipeline capacity feeding gas-fired power for AI data centers.","AI data centers need dispatchable, 24/7 baseload power NOW, and gas turbines are the only generation source that can be deployed in 2-4 years at gigawatt scale. EQT controls the cheapest, largest US gas reserves directly adjacent to the PJM grid where most hyperscaler buildout is concentrated. Permitting new Appalachian gas reserves and pipeline takeaway capacity takes 5-10+ years, making EQT's existing acreage and midstream a hard physical bottleneck.",Henry Hub gas price and Appalachian basis differential; proved reserves and production volume (Bcfe/d); midstream takeaway capacity and data center direct-supply contracts,"EQT physically owns scarce, geologically constrained gas reserves and integrated pipeline infrastructure that cannot be replicated quickly due to permitting and drilling lead times — true physical ownership warrants a 9. Supply response is 8 because while individual wells can be drilled in months, expanding basin-wide takeaway and reserves at the scale needed for AI power demand requires 5-10 years of permitting and infrastructure buildout."
CIFR,Cipher Mining,Pre-Connected Power,Bitcoin Miner to AI Hosting,early,5.0,7,8,"Cipher operates Bitcoin mining sites with energized grid interconnects and large contracted power capacity (e.g., Black Pearl, Barber Lake, Stingray) that can be converted to AI/HPC hosting.","Cipher Mining owns and operates data center sites with already-secured power purchase agreements and grid interconnects in Texas — bypassing the 5-7 year ERCOT queue that is the binding constraint for AI buildout. Like Core Scientific, its optionality lies in converting megawatts from Bitcoin to higher-value AI hosting. The physical asset (energized substations + land + cooling) cannot be replicated quickly at any price.",Contracted MW of energized capacity; HPC/AI hosting conversion announcements; power cost per MWh,"Cipher directly operates physical sites with pre-connected power, the exact bottleneck asset hyperscalers need, placing it in the 6-7 band with peers like CORZ but with smaller scale and fewer signed AI deals than CORZ/IREN. Replicating a new energized gigawatt-scale site in ERCOT realistically takes 5-10 years given interconnect queues and transformer lead times."
COHR,Coherent Corp,Optical Interconnects,Optical Transceivers and Lasers,middle,3.0,7,7,"Manufactures high-speed optical transceivers, indium phosphide lasers, and photonic components essential for AI cluster networking (800G/1.6T).","Coherent is one of a handful of vertically integrated suppliers of high-speed optical transceivers and InP/VCSEL laser chips required to interconnect GPUs across AI data centers. As AI clusters scale to hundreds of thousands of GPUs, optical bandwidth becomes a physical bottleneck — and indium phosphide epitaxy capacity is limited and slow to expand. They own the fabs and epi capacity, not just designs.",Datacom transceiver revenue growth; 800G/1.6T shipment volumes; InP wafer capacity utilization,"Coherent physically owns InP fabs, VCSEL production, and transceiver assembly — direct control of a bottleneck asset, but with real competition from Lumentum, Marvell/Inphi, and emerging Chinese suppliers, placing it in the 6-7 band. Supply response is 2-5 years given specialized epitaxy equipment, clean room buildout, and qualification cycles with hyperscalers, warranting a 7."
SEI,Solaris Energy Infrastructure,Pre-Connected Power,Mobile Gas Turbines,middle,4.0,8,7,Owns and operates a large fleet of mobile natural gas turbines providing behind-the-meter power to data centers bypassing the multi-year grid interconnection queue.,"Solaris pivoted from oilfield services to deploying mobile/modular gas turbine power generation directly at customer sites, including hyperscale AI data centers. With grid interconnection queues stretching 5-7 years and new turbine orders from GE/Siemens backlogged into 2028+, Solaris controls a scarce pool of immediately-deployable megawatts. The company has already signed large contracts (e.g., with a major data center customer) locking up significant turbine capacity.",Contracted MW deployed to data centers; turbine fleet size and utilization rate; average contract length and pricing per MW,"Solaris physically owns and operates the turbine fleet (not just sells equipment), which justifies the 8 — they directly control megawatts that can be plugged in within months versus years for grid power. Supply response is 7 because turbine OEM backlogs (GE Vernova, Siemens Energy, Mitsubishi) are 3-5 years, meaning competitors cannot quickly replicate the fleet even with capital."
TSEM,Tower Semiconductor,Other,Specialty Analog Foundry,middle,3.0,6,7,"Tower owns and operates specialty analog semiconductor fabs producing silicon photonics, power management ICs, and RF/SiGe chips used in AI optical interconnects and data center power delivery.","Tower physically operates fabs (unlike fabless designers) and is a key manufacturer of silicon photonics transceivers and power management ICs that scale AI cluster bandwidth and power delivery. Its silicon photonics platform is used by leading optical interconnect customers, a genuine bottleneck as AI clusters move to co-packaged optics. However, Tower is one of several specialty foundries (GlobalFoundries, X-Fab, VIS) and lacks the irreplaceability of leading-edge TSMC capacity or a uranium mine.",Silicon photonics wafer revenue growth; fab utilization rate; Arizona/New Mexico capacity expansion progress,"Ownership score 6 because Tower physically owns and operates fabs (unlike fabless players that score 4) producing genuinely scarce silicon photonics and power IC capacity, but several competing specialty foundries exist. Supply response 7 because new specialty fab capacity takes 2-4 years to build and qualify even with unlimited capital, though it is faster than leading-edge logic or uranium mines."
